127.0.0.1 - - [14/Mar/2025:20:12:47 +0700] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [14/Mar/2025:20:12:48 +0700] "GET /Project3_NongVanBach_2210900003/Backend/User/userLogin.jsp HTTP/1.1" 200 2539
0:0:0:0:0:0:0:1 - - [14/Mar/2025:20:12:48 +0700] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [14/Mar/2025:20:12:52 +0700] "GET /Project3_NongVanBach_2210900003/Frontend/userLayout.jsp HTTP/1.1" 200 9059
0:0:0:0:0:0:0:1 - - [14/Mar/2025:20:12:53 +0700] "GET /Project3_NongVanBach_2210900003/images/biapage1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2025:20:12:53 +0700] "GET /Project3_NongVanBach_2210900003/images/biapage5.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2025:20:12:53 +0700] "GET /Project3_NongVanBach_2210900003/images/biapage3.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2025:20:12:53 +0700] "GET /Project3_NongVanBach_2210900003/images/biapage2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2025:20:12:53 +0700] "GET /Project3_NongVanBach_2210900003/Frontend/css2/formuser.css HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [14/Mar/2025:20:12:53 +0700] "GET /Project3_NongVanBach_2210900003/images/logopage1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2025:20:12:53 +0700] "GET /Project3_NongVanBach_2210900003/images/butbi.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2025:20:12:53 +0700] "GET /Project3_NongVanBach_2210900003/images/biapage4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2025:20:12:53 +0700] "GET /Project3_NongVanBach_2210900003/images/bangtrang.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2025:20:12:53 +0700] "GET /Project3_NongVanBach_2210900003/images/sotay.jpg HTTP/1.1" 304 -
127.0.0.1 - - [14/Mar/2025:20:13:18 +0700] "GET /Project3_NongVanBach_2210900003/Frontend/userLayout.jsp HTTP/1.1" 200 9059
127.0.0.1 - - [14/Mar/2025:20:13:18 +0700] "GET /Project3_NongVanBach_2210900003/Frontend/css2/formuser.css HTTP/1.1" 200 2
127.0.0.1 - - [14/Mar/2025:20:13:18 +0700] "GET /Project3_NongVanBach_2210900003/images/butbi.jpg HTTP/1.1" 304 -
127.0.0.1 - - [14/Mar/2025:20:13:18 +0700] "GET /Project3_NongVanBach_2210900003/images/sotay.jpg HTTP/1.1" 304 -
127.0.0.1 - - [14/Mar/2025:20:13:18 +0700] "GET /Project3_NongVanBach_2210900003/images/bangtrang.jpg HTTP/1.1" 304 -
127.0.0.1 - - [14/Mar/2025:20:13:18 +0700] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [14/Mar/2025:20:14:08 +0700] "GET /Project3_NongVanBach_2210900003/Frontend/userLayout.jsp HTTP/1.1" 200 9059
0:0:0:0:0:0:0:1 - - [14/Mar/2025:20:14:09 +0700] "GET /Project3_NongVanBach_2210900003/Frontend/userLayout.jsp HTTP/1.1" 200 9059
0:0:0:0:0:0:0:1 - - [14/Mar/2025:20:14:09 +0700] "GET /Project3_NongVanBach_2210900003/Frontend/userLayout.jsp HTTP/1.1" 200 9059
0:0:0:0:0:0:0:1 - - [14/Mar/2025:20:14:12 +0700] "GET /Project3_NongVanBach_2210900003/Frontend/userLayout.jsp HTTP/1.1" 200 9059
127.0.0.1 - - [14/Mar/2025:20:14:31 +0700] "GET /Project3_NongVanBach_2210900003/Frontend/userLayout.jsp HTTP/1.1" 200 9059
